,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
170,I'll get you back (From Heo Yeong Mi To Hyeong Chul Theme),spotify:track:1ulrkcnvtTDbbkLQaXS85C,All About Eve (MBC DRAMA) OST,spotify:album:7LDnsb1ATqmSM3NYqefvfL,Fin.K.L,spotify:artist:2aRLyjYp7WPr4EkjkI1gvS,2000-04-01,2,264440
171,Confession,spotify:track:32mgRG01PZxvgqGpieHgj8,Do You Like Brahms? OST Part.2,spotify:album:1KvZT5kQowPVKSZVWMrd3Y,god,spotify:artist:1nTCpd63NkuGGpCIbo4Ywl,2020-09-07,41,254363
172,현기증 Vertigo,spotify:track:3oX9OZL58kBz1iL4ChCsCJ,Rise As God - TVXQ! Special Album,spotify:album:7uJVnFeX20nqjEhI1drwu6,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,2015-07-20,22,225853
173,EXCITEMENT,spotify:track:3tCozOBFIXQ5OyrxmQN2Wv,Like A Wave,spotify:album:0F1TYQHGSuBpKi4P4Ym5aN,HELLOVENUS,spotify:artist:3TW9U1f93tpGBsEtCSf7JG,2012-07-04,7,241746
176,Don't listen in secret,spotify:track:01bnqaE6nQogjdMMrrL1dj,Seventeen 3rd Mini Album ’Going Seventeen’,spotify:album:3wXGFboFgcK9ezbPuSrKk9,SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,2016-12-05,56,237552
182,U&I,spotify:track:2QaCwg7NuZCvC8YHzph4CF,WOMAN - The 9th Album,spotify:album:68AStxkvhmfQv3A1qdW8CP,BoA,spotify:artist:4muJrGMndyYWqZtfk8OWy4,2018-10-24,31,182740
183,"What′s Love (Feat. 데니, 렉시, 별 And JYP)",spotify:track:1UOiO3g9TZ1Vo2hg0QzKsa,N001,spotify:album:1d5XLD9zkYhe17Nbod5890,Rain,spotify:artist:5L4EafeXwZ0stGuPtGr5Tz,2002-05-01,3,218266
184,Party,spotify:track:5XO0LmpnGeKV5geZj2lbT1,Present : YOU,spotify:album:7h09nVKw1n6H86mPRBTzEL,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2018-09-17,16,184733
187,Lead the way,spotify:track:5BC6hSNJR0v2M1IEDLCpHo,Lead the Way/LA’booN,spotify:album:5c13xY4PFTwZVNrEQFZ4kO,T-ARA,spotify:artist:1R52cwGf75yTf7I3Q0Irf8,2014-03-05,3,239626
188,Love Song,spotify:track:2oKAC0Dv0EEEWaECVmZzyp,NCT #127 Neo Zone - The 2nd Album,spotify:album:5YHFKsjb0e5q8Smb2CBUl7,NCT 127,spotify:artist:7f4ignuCJhLXfZ9giKT7rH,2020-03-06,51,215160
190,Cry,spotify:track:11O9OEQxgvVOWIC71dhxgr,TEEN TOP 20'S LOVE TWO “?XITO”,spotify:album:6eY3DPEilLDTUz99goTwaC,TEEN TOP,spotify:artist:3offPqpKAKmpQkIdWnjzkc,2014-11-10,15,206259
194,Sexy Ladies,spotify:track:6AltPbrDyiCwjtkleLNanf,2PM OF 2PM <リパッケージ>,spotify:album:1ZjpZ6aHfgB0QvCVPoJUJ6,2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS,2015-05-20,1,222213
